method,parameter,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
omp,6,24,1.0,3.877503592711485e-15,2.082381887922779e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,7,24,1.0,3.877503592711485e-15,2.082381887922779e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,8,24,1.0,3.877503592711485e-15,2.082381887922779e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,9,24,1.0,3.877503592711485e-15,2.082381887922779e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,1,35,-0.01414890506203359,2.0028354164547792,6.339445522039482,"['n_count(r_not(r_identity(c_primitive(clear,0))))']",[-0.05786073742522784],[4.0],0
omp,2,35,0.14098245753714445,1.864250579956304,5.369719264831634,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.16199836877886434, -0.12459290275229871]","[4.0, 4.0]",0
omp,3,35,0.9635831207652578,0.44428349924457533,0.2276419378249171,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.023310084114119427, -1.925546460155726, -0.02132754597548783]","[4.0, 4.0, 4.0]",0
omp,4,35,0.975886228076955,0.31927384142171616,0.15073520532734583,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.07483089616817092, 0.1188446143581904, -2.0077498402221097, -0.0602427791240896]","[4.0, 3.0, 4.0, 4.0]",0
omp,5,35,1.0,3.882708442914209e-15,2.0954291037957971e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,6,35,1.0,3.882708442914209e-15,2.0954291037957971e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,7,35,1.0,3.882708442914209e-15,2.0954291037957971e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,8,35,1.0,3.882708442914209e-15,2.0954291037957971e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,9,35,1.0,3.882708442914209e-15,2.0954291037957971e-29,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_transitive_closure(r_primitive(on,0,1)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.3953312514075469e-15, -2.2536178432077334e-15, -1.9999999999999998, -1.0000000000000082, 1.0270740668485178e-15]","[4.0, 3.0, 4.0, 2.0, 4.0]",0
omp,1,46,-0.01414890506203359,2.0028354164547792,6.339445522039482,"['n_count(r_not(r_identity(c_primitive(clear,0))))']",[-0.05786073742522784],[4.0],0
omp,2,46,0.14098245753714445,1.864250579956304,5.369719264831634,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.16199836877886434, -0.12459290275229871]","[4.0, 4.0]",0
omp,3,46,0.9635831207652578,0.44428349924457533,0.2276419378249171,"['n_count(r_restrict(r_top,c_primitive(clear,0)))', 'n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[0.023310084114119427, -1.925546460155726, -0.02132754597548783]","[4.0, 4.0, 4.0]",0
